EC:1.1.1.1	Alcohol dehydrogenase
EC:1.14.17.1	Dopamine beta-monooxygenase
EC:1.14.17.3	Peptidylglycine monooxygenase
EC:1.14.17.4	Aminocyclopropanecarboxylate oxidase
EC:1.14.18.1	Tyrosinase
EC:1.14.18.2	CMP-N-acetylneuraminate monooxygenase
EC:1.14.18.3	Methane monooxygenase (particulate)
EC:1.14.18.5	Sphingolipid C4-monooxygenase
EC:1.14.18.6	4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase
EC:1.14.18.7	Dihydroceramide fatty acyl 2-hydroxylase
EC:1.14.19.1	Stearoyl-CoA 9-desaturase
EC:1.14.19.2	Stearoyl-[acyl-carrier-protein] 9-desaturase
EC:1.14.19.20	Delta(7)-sterol 5(6)-desaturase
EC:1.14.19.3	Acyl-CoA 6-desaturase
EC:1.14.19.4	Delta(8)-fatty-acid desaturase
EC:1.14.19.5	Acyl-CoA 11-(Z)-desaturase
EC:1.14.19.8	Pentalenolactone synthase
EC:1.14.19.9	Tryptophan 7-halogenase
EC:1.14.20.1	Deacetoxycephalosporin-C synthase
EC:1.14.20.3	(5R)-carbapenem-3-carboxylate synthase
EC:1.14.21.7	Biflaviolin synthase
EC:1.14.21.9	Mycocyclosin synthase
EC:1.14.99.1	Prostaglandin-endoperoxide synthase
EC:1.14.99.22	Ecdysone 20-monooxygenase
EC:1.14.99.29	Deoxyhypusine monooxygenase
EC:1.14.99.39	Ammonia monooxygenase
EC:1.14.99.44	Diapolycopene oxygenase
EC:1.14.99.45	Carotene epsilon-monooxygenase
EC:1.14.99.46	Pyrimidine monooxygenase
EC:1.14.99.48	Heme oxygenase (staphylobilin-producing)
EC:1.14.99.50	Gamma-glutamyl hercynylcysteine S-oxide synthase
EC:1.15.1.1	Superoxide dismutase
EC:1.15.1.2	Superoxide reductase
EC:1.16.1.1	Mercury(II) reductase
EC:1.16.1.10	Ferric-chelate reductase (NAD(P)H)
EC:1.16.1.3	Aquacobalamin reductase
EC:1.16.1.8	[Methionine synthase] reductase
EC:1.16.1.9	Ferric-chelate reductase (NADPH)
EC:1.16.3.1	Ferroxidase
EC:1.16.3.2	Bacterial non-heme ferritin
EC:1.16.8.1	Cob(II)yrinic acid a,c-diamide reductase
EC:1.17.1.1	CDP-4-dehydro-6-deoxyglucose reductase
EC:1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
EC:1.17.1.3	Leucoanthocyanidin reductase
EC:1.17.1.4	Xanthine dehydrogenase
EC:1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase
EC:1.17.2.1	Nicotinate dehydrogenase (cytochrome)
EC:1.17.3.2	Xanthine oxidase
EC:1.17.4.1	Ribonucleoside-diphosphate reductase
EC:1.17.4.2	Ribonucleoside-triphosphate reductase
EC:1.17.4.4	Vitamin-K-epoxide reductase (warfarin-sensitive)
EC:1.17.5.1	Phenylacetyl-CoA dehydrogenase
EC:1.17.7.1	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)
EC:1.17.7.2	7-hydroxymethyl chlorophyll a reductase
EC:1.17.7.3	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)
EC:1.17.99.1	4-methylphenol dehydrogenase (hydroxylating)
EC:1.17.99.2	Ethylbenzene hydroxylase
EC:1.17.99.6	Epoxyqueuosine reductase
EC:1.18.1.1	Rubredoxin--NAD(+) reductase
EC:1.18.1.2	Ferredoxin--NADP(+) reductase
EC:1.18.1.3	Ferredoxin--NAD(+) reductase
EC:1.18.1.6	Adrenodoxin-NADP(+) reductase
EC:1.18.1.7	specific)
EC:1.18.6.1	Nitrogenase
EC:1.2.1.10	Acetaldehyde dehydrogenase (acetylating)
EC:1.2.1.11	Aspartate-semialdehyde dehydrogenase
EC:1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
EC:1.2.1.13	Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating)
EC:1.2.1.16	Succinate-semialdehyde dehydrogenase (NAD(P)(+))
EC:1.2.1.18	Malonate-semialdehyde dehydrogenase (acetylating)
EC:1.2.1.19	Aminobutyraldehyde dehydrogenase
EC:1.2.1.2	Formate dehydrogenase
EC:1.2.1.20	Glutarate-semialdehyde dehydrogenase
EC:1.2.1.21	Glycolaldehyde dehydrogenase
EC:1.2.1.22	Lactaldehyde dehydrogenase
EC:1.2.1.24	Succinate-semialdehyde dehydrogenase (NAD(+))
EC:1.2.1.26	2,5-dioxovalerate dehydrogenase
EC:1.2.1.27	Methylmalonate-semialdehyde dehydrogenase (CoA acylating)
EC:1.2.1.28	Benzaldehyde dehydrogenase (NAD(+))
EC:1.2.1.3	Aldehyde dehydrogenase (NAD(+))
EC:1.2.1.31	L-aminoadipate-semialdehyde dehydrogenase
EC:1.2.1.32	Aminomuconate-semialdehyde dehydrogenase
EC:1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase
EC:1.2.1.39	Phenylacetaldehyde dehydrogenase
EC:1.2.1.4	Aldehyde dehydrogenase (NADP(+))
EC:1.2.1.41	Glutamate-5-semialdehyde dehydrogenase
EC:1.2.1.43	Formate dehydrogenase (NADP(+))
EC:1.2.1.44	Cinnamoyl-CoA reductase
EC:1.2.1.46	Formaldehyde dehydrogenase
EC:1.2.1.47	4-trimethylammoniobutyraldehyde dehydrogenase
EC:1.2.1.5	Aldehyde dehydrogenase (NAD(P)(+))
EC:1.2.1.50	Long-chain-fatty-acyl-CoA reductase
EC:1.2.1.54	Gamma-guanidinobutyraldehyde dehydrogenase
EC:1.2.1.58	Phenylglyoxylate dehydrogenase (acylating)
EC:1.2.1.59	Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)
EC:1.2.1.60	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
EC:1.2.1.62	4-formylbenzenesulfonate dehydrogenase
EC:1.2.1.65	Salicylaldehyde dehydrogenase
EC:1.2.1.68	Coniferyl-aldehyde dehydrogenase
EC:1.2.1.70	Glutamyl-tRNA reductase
EC:1.2.1.71	Succinylglutamate-semialdehyde dehydrogenase
EC:1.2.1.72	Erythrose-4-phosphate dehydrogenase
EC:1.2.1.73	Sulfoacetaldehyde dehydrogenase
EC:1.2.1.75	Malonyl CoA reductase (malonate semialdehyde-forming)
EC:1.2.1.76	Succinate-semialdehyde dehydrogenase (acetylating)
EC:1.2.1.77	3,4-dehydroadipyl-CoA semialdehyde dehydrogenase (NADP(+))
EC:1.2.1.78	2-formylbenzoate dehydrogenase
EC:1.2.1.79	Succinate-semialdehyde dehydrogenase (NADP(+))
EC:1.2.1.8	Betaine-aldehyde dehydrogenase
EC:1.2.1.80	Long-chain acyl-[acyl-carrier-protein] reductase
EC:1.2.1.81	Sulfoacetaldehyde dehydrogenase (acylating)
EC:1.2.1.83	3-succinoylsemialdehyde-pyridine dehydrogenase
EC:1.2.1.84	Alcohol-forming fatty acyl-CoA reductase
EC:1.2.1.85	2-hydroxymuconate-6-semialdehyde dehydrogenase
EC:1.2.1.86	Geranial dehydrogenase
EC:1.2.1.87	Propanal dehydrogenase (CoA-propanoylating)
EC:1.2.1.88	L-glutamate gamma-semialdehyde dehydrogenase
EC:1.2.1.89	D-glyceraldehyde dehydrogenase (NADP(+))
EC:1.2.1.9	Glyceraldehyde-3-phosphate dehydrogenase (NADP(+))
EC:1.2.1.90	Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+))
EC:1.2.1.91	3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase
EC:1.2.3.1	Aldehyde oxidase
EC:1.2.3.14	Abscisic-aldehyde oxidase
EC:1.2.3.3	Pyruvate oxidase
EC:1.2.3.7	Indole-3-acetaldehyde oxidase
EC:1.2.4.1	Pyruvate dehydrogenase (acetyl-transferring)
EC:1.2.4.2	Oxoglutarate dehydrogenase (succinyl-transferring)
EC:1.2.4.4	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
EC:1.2.5.1	Pyruvate dehydrogenase (quinone)
EC:1.2.7.1	Pyruvate synthase
EC:1.2.7.10	Oxalate oxidoreductase
EC:1.2.7.11	2-oxoacid oxidoreductase (ferredoxin)
EC:1.2.7.3	2-oxoglutarate synthase
EC:1.2.7.4	Carbon-monoxide dehydrogenase (ferredoxin)
EC:1.2.7.5	Aldehyde ferredoxin oxidoreductase
EC:1.2.7.6	Glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)
EC:1.2.7.7	3-methyl-2-oxobutanoate dehydrogenase (ferredoxin)
EC:1.2.7.8	Indolepyruvate ferredoxin oxidoreductase
EC:1.2.98.1	Formaldehyde dismutase
EC:1.2.99.2	Carbon-monoxide dehydrogenase (acceptor)
EC:1.2.99.5	Formylmethanofuran dehydrogenase
EC:1.2.99.7	Aldehyde dehydrogenase (FAD-independent)
EC:1.2.99.8	Glyceraldehyde dehydrogenase (FAD-containing)
EC:1.20.1.1	Phosphonate dehydrogenase
EC:1.20.4.1	Arsenate reductase (glutaredoxin)
EC:1.20.4.3	Mycoredoxin
EC:1.20.9.1	Arsenate reductase (azurin)
EC:1.21.1.1	Iodotyrosine deiodinase
EC:1.21.3.1	Isopenicillin-N synthase
EC:1.21.4.1	D-proline reductase (dithiol)
EC:1.21.4.2	Glycine reductase
EC:1.21.4.4	Betaine reductase
EC:1.21.98.1	Cyclic dehypoxanthinyl futalosine synthase
EC:1.23.5.1	Violaxanthin de-epoxidase
EC:1.3.1.1	Dihydrouracil dehydrogenase (NAD(+))
EC:1.3.1.10	Enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific)
EC:1.3.1.101	2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate reductase (NAD(P)H)
EC:1.3.1.104	Enoyl-[acyl-carrier-protein] reductase
EC:1.3.1.105	2-methylene-furan-3-one reductase
EC:1.3.1.106	Cobalt-precorrin-6A reductase
EC:1.3.1.12	Prephenate dehydrogenase
EC:1.3.1.13	Prephenate dehydrogenase (NADP(+))
EC:1.3.1.14	Dihydroorotate dehydrogenase (NAD(+))
EC:1.3.1.19	Cis-1,2-dihydrobenzene-1,2-diol dehydrogenase
EC:1.3.1.2	Dihydropyrimidine dehydrogenase (NADP(+))
EC:1.3.1.20	Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase
EC:1.3.1.21	7-dehydrocholesterol reductase
EC:1.3.1.22	3-oxo-5-alpha-steroid 4-dehydrogenase (NADP(+))
EC:1.3.1.24	Biliverdin reductase
EC:1.3.1.25	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
EC:1.3.1.28	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
EC:1.3.1.29	Cis-1,2-dihydro-1,2-dihydroxynaphthalene dehydrogenase
EC:1.3.1.31	2-enoate reductase
EC:1.3.1.32	Maleylacetate reductase
EC:1.3.1.33	Protochlorophyllide reductase
EC:1.3.1.34	2,4-dienoyl-CoA reductase (NADPH)
EC:1.3.1.38	Trans-2-enoyl-CoA reductase (NADPH)
EC:1.3.1.42	12-oxophytodienoate reductase
EC:1.3.1.43	Arogenate dehydrogenase
EC:1.3.1.44	Trans-2-enoyl-CoA reductase (NAD(+))
EC:1.3.1.45	2'-hydroxyisoflavone reductase
EC:1.3.1.48	15-oxoprostaglandin 13-reductase
EC:1.3.1.49	Cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase
EC:1.3.1.53	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase
EC:1.3.1.54	Precorrin-6A reductase
EC:1.3.1.56	Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase
EC:1.3.1.58	2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase
EC:1.3.1.6	Fumarate reductase (NADH)
EC:1.3.1.60	Dibenzothiophene dihydrodiol dehydrogenase
EC:1.3.1.62	Pimeloyl-CoA dehydrogenase
EC:1.3.1.64	Phthalate 4,5-cis-dihydrodiol dehydrogenase
EC:1.3.1.70	Delta(14)-sterol reductase
EC:1.3.1.71	Delta(24(24(1)))-sterol reductase
EC:1.3.1.72	Delta(24)-sterol reductase
EC:1.3.1.74	2-alkenal reductase (NAD(P)(+))
EC:1.3.1.75	Divinyl chlorophyllide a 8-vinyl-reductase
EC:1.3.1.76	Precorrin-2 dehydrogenase
EC:1.3.1.77	Anthocyanidin reductase
EC:1.3.1.78	Arogenate dehydrogenase (NADP(+))
EC:1.3.1.80	Red chlorophyll catabolite reductase
EC:1.3.1.83	Geranylgeranyl diphosphate reductase
EC:1.3.1.84	Acrylyl-CoA reductase (NADPH)
EC:1.3.1.85	Crotonyl-CoA carboxylase/reductase
EC:1.3.1.86	Crotonyl-CoA reductase
EC:1.3.1.87	3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase
EC:1.3.1.88	tRNA-dihydrouridine(16/17) synthase (NAD(P)(+))
EC:1.3.1.89	tRNA-dihydrouridine(47) synthase (NAD(P)(+))
EC:1.3.1.9	Enoyl-[acyl-carrier-protein] reductase (NADH)
EC:1.3.1.90	tRNA-dihydrouridine(20a/20b) synthase (NAD(P)(+))
EC:1.3.1.91	tRNA-dihydrouridine(20) synthase (NAD(P)(+))
EC:1.3.1.93	Very-long-chain enoyl-CoA reductase
EC:1.3.1.94	Polyprenol reductase
EC:1.3.1.98	UDP-N-acetylmuramate dehydrogenase
EC:1.3.2.3	L-galactonolactone dehydrogenase
EC:1.3.3.11	Pyrroloquinoline-quinone synthase
EC:1.3.3.14	Aclacinomycin-A oxidase
EC:1.3.3.3	Coproporphyrinogen oxidase
EC:1.3.3.4	Protoporphyrinogen oxidase
EC:1.3.3.5	Bilirubin oxidase
EC:1.3.3.6	Acyl-CoA oxidase
EC:1.3.4.1	Fumarate reductase (CoM/CoB)
EC:1.3.5.1	Succinate dehydrogenase (quinone)
EC:1.3.5.2	Dihydroorotate dehydrogenase (quinone)
EC:1.3.5.3	Protoporphyrinogen IX dehydrogenase (menaquinone)
EC:1.3.5.4	Fumarate reductase (quinol)
EC:1.3.5.5	15-cis-phytoene desaturase
EC:1.3.5.6	9,9'-di-cis-zeta-carotene desaturase
EC:1.3.7.11	2,3-bis-O-geranylgeranyl-sn-glycero-phospholipid reductase
EC:1.3.7.2	15,16-dihydrobiliverdin:ferredoxin oxidoreductase
EC:1.3.7.3	Phycoerythrobilin:ferredoxin oxidoreductase
EC:1.3.7.4	Phytochromobilin:ferredoxin oxidoreductase
EC:1.3.7.5	Phycocyanobilin:ferredoxin oxidoreductase
EC:1.3.7.7	Ferredoxin:protochlorophyllide reductase (ATP-dependent)
EC:1.3.7.8	Benzoyl-CoA reductase
EC:1.3.7.9	4-hydroxybenzoyl-CoA reductase
EC:1.3.8.1	Short-chain acyl-CoA dehydrogenase
EC:1.3.8.10	Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase
EC:1.3.8.11	Cyclohexane-1-carbonyl-CoA dehydrogenase
EC:1.3.8.12	(2S)-methylsuccinyl-CoA dehydrogenase
EC:1.3.8.2	4,4'-diapophytoene desaturase (4,4'-diapolycopene-forming)
EC:1.3.8.3	(R)-benzylsuccinyl-CoA dehydrogenase
EC:1.3.8.4	Isovaleryl-CoA dehydrogenase
EC:1.3.8.6	Glutaryl-CoA dehydrogenase (ETF)
EC:1.3.8.7	Medium-chain acyl-CoA dehydrogenase
EC:1.3.8.8	Long-chain-acyl-CoA dehydrogenase
EC:1.3.8.9	Very-long-chain acyl-CoA dehydrogenase
EC:1.3.98.1	Dihydroorotate oxidase (fumarate)
EC:1.3.99.12	2-methylacyl-CoA dehydrogenase
EC:1.3.99.16	Isoquinoline 1-oxidoreductase
EC:1.3.99.22	Coproporphyrinogen dehydrogenase
EC:1.3.99.23	All-trans-retinol 13,14-reductase
EC:1.3.99.26	All-trans-zeta-carotene desaturase
EC:1.3.99.27	1-hydroxycarotenoid 3,4-desaturase
EC:1.3.99.28	Phytoene desaturase (neurosporene-forming)
EC:1.3.99.29	Phytoene desaturase (zeta-carotene-forming)
EC:1.3.99.30	Phytoene desaturase (3,4-didehydrolycopene-forming)
EC:1.3.99.31	Phytoene desaturase (lycopene-forming)
EC:1.3.99.32	Glutaryl-CoA dehydrogenase (acceptor)
EC:1.3.99.33	Urocanate reductase
EC:1.3.99.35	Chlorophyllide a reductase
EC:1.3.99.4	3-oxosteroid 1-dehydrogenase
EC:1.3.99.5	3-oxo-5-alpha-steroid 4-dehydrogenase (acceptor)
EC:1.3.99.8	2-furoyl-CoA dehydrogenase
EC:1.4.1.1	Alanine dehydrogenase
EC:1.4.1.11	L-erythro-3,5-diaminohexanoate dehydrogenase
EC:1.4.1.13	Glutamate synthase (NADPH)
EC:1.4.1.14	Glutamate synthase (NADH)
EC:1.4.1.16	Diaminopimelate dehydrogenase
EC:1.4.1.18	Lysine 6-dehydrogenase
EC:1.4.1.2	Glutamate dehydrogenase
EC:1.4.1.20	Phenylalanine dehydrogenase
EC:1.4.1.21	Aspartate dehydrogenase
EC:1.4.1.23	Valine dehydrogenase (NAD(+))
EC:1.4.1.24	3-dehydroquinate synthase II
EC:1.4.1.3	Glutamate dehydrogenase (NAD(P)(+))
EC:1.4.1.4	Glutamate dehydrogenase (NADP(+))
EC:1.4.1.9	Leucine dehydrogenase
EC:1.4.3.1	D-aspartate oxidase
EC:1.4.3.10	Putrescine oxidase
EC:1.4.3.16	L-aspartate oxidase
EC:1.4.3.19	Glycine oxidase
EC:1.4.3.2	L-amino-acid oxidase
EC:1.4.3.20	L-lysine 6-oxidase
EC:1.4.3.21	Primary-amine oxidase
EC:1.4.3.22	Diamine oxidase
EC:1.4.3.3	D-amino-acid oxidase
EC:1.4.3.4	Monoamine oxidase
EC:1.4.3.5	Pyridoxal 5'-phosphate synthase
EC:1.4.4.2	Glycine dehydrogenase (aminomethyl-transferring)
EC:1.4.7.1	Glutamate synthase (ferredoxin)
EC:1.4.9.1	Methylamine dehydrogenase (amicyanin)
EC:1.4.9.2	Aralkylamine dehydrogenase (azurin)
EC:1.4.99.5	Glycine dehydrogenase (cyanide-forming)
EC:1.4.99.6	D-arginine dehydrogenase
EC:1.5.1.1	(NAD(P)H)
EC:1.5.1.10	Saccharopine dehydrogenase (NADP(+), L-glutamate-forming)
EC:1.5.1.15	Methylenetetrahydrofolate dehydrogenase (NAD(+))
EC:1.5.1.19	D-nopaline dehydrogenase
EC:1.5.1.2	Pyrroline-5-carboxylate reductase
EC:1.5.1.20	Methylenetetrahydrofolate reductase (NAD(P)H)
EC:1.5.1.21	1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase (NADPH)
EC:1.5.1.24	N(5)-(carboxyethyl)ornithine synthase
EC:1.5.1.25	Thiomorpholine-carboxylate dehydrogenase
EC:1.5.1.28	Opine dehydrogenase
EC:1.5.1.3	Dihydrofolate reductase
EC:1.5.1.30	Flavin reductase (NADPH)
EC:1.5.1.33	Pteridine reductase
EC:1.5.1.34	6,7-dihydropteridine reductase
EC:1.5.1.36	Flavin reductase (NADH)
EC:1.5.1.37	FAD reductase (NADH)
EC:1.5.1.38	FMN reductase (NADPH)
EC:1.5.1.39	FMN reductase (NAD(P)H)
EC:1.5.1.41	Riboflavin reductase (NAD(P)H)
EC:1.5.1.43	Carboxynorspermidine synthase
EC:1.5.1.45	FAD reductase (NAD(P)H)
EC:1.5.1.47	Dihydromethanopterin reductase (NAD(P)(+))
EC:1.5.1.49	1-pyrroline-2-carboxylate reductase (NAD(P)H)
EC:1.5.1.5	Methylenetetrahydrofolate dehydrogenase (NADP(+))
EC:1.5.1.6	Formyltetrahydrofolate dehydrogenase
EC:1.5.1.7	Saccharopine dehydrogenase (NAD(+), L-lysine-forming)
EC:1.5.1.8	Saccharopine dehydrogenase (NADP(+), L-lysine-forming)
EC:1.5.1.9	Saccharopine dehydrogenase (NAD(+), L-glutamate-forming)
EC:1.5.3.1	Sarcosine oxidase
EC:1.5.3.14	Polyamine oxidase (propane-1,3-diamine-forming)
EC:1.5.3.16	Spermine oxidase
EC:1.5.3.17	Non-specific polyamine oxidase
EC:1.5.3.19	4-methylaminobutanoate oxidase (formaldehyde-forming)
EC:1.5.3.7	L-pipecolate oxidase
EC:1.5.4.1	Pyrimidodiazepine synthase
EC:1.5.5.1	Electron-transferring-flavoprotein dehydrogenase
EC:1.5.5.2	Proline dehydrogenase
EC:1.5.8.1	Dimethylamine dehydrogenase
EC:1.5.8.2	Trimethylamine dehydrogenase
EC:1.5.8.3	Sarcosine dehydrogenase
EC:1.5.8.4	Dimethylglycine dehydrogenase
EC:1.5.98.1	Methylenetetrahydromethanopterin dehydrogenase
EC:1.5.98.2	5,10-methylenetetrahydromethanopterin reductase
EC:1.5.99.12	Cytokinin dehydrogenase
EC:1.5.99.13	D-proline dehydrogenase
EC:1.5.99.14	6-hydroxypseudooxynicotine dehydrogenase
EC:1.5.99.15	Dihydromethanopterin reductase (acceptor)
EC:1.5.99.6	Spermidine dehydrogenase
EC:1.6.1.1	NAD(P)(+) transhydrogenase (Si-specific)
EC:1.6.1.2	NAD(P)(+) transhydrogenase (Re/Si-specific)
EC:1.6.2.2	Cytochrome-b5 reductase
EC:1.6.2.4	NADPH--hemoprotein reductase
EC:1.6.3.1	NAD(P)H oxidase (H(2)O(2)-forming)
EC:1.6.3.3	NADH oxidase (H(2)O(2)-forming)
EC:1.6.3.4	NADH oxidase (H(2)O-forming)
EC:1.6.3.5	Renalase
EC:1.6.5.2	NAD(P)H dehydrogenase (quinone)
EC:1.6.5.3	NADH:ubiquinone reductase (H(+)-translocating)
EC:1.6.5.4	Monodehydroascorbate reductase (NADH)
EC:1.6.5.5	NADPH:quinone reductase
EC:1.6.5.9	NADH:ubiquinone reductase (non-electrogenic)
EC:1.6.99.1	NADPH dehydrogenase
EC:1.6.99.3	NADH dehydrogenase
EC:1.7.1.1	Nitrate reductase (NADH)
EC:1.7.1.13	PreQ(1) synthase
EC:1.7.1.14	Nitric oxide reductase (NAD(P)(+), nitrous oxide-forming)
EC:1.7.1.15	Nitrite reductase (NADH)
EC:1.7.1.2	Nitrate reductase (NAD(P)H)
EC:1.7.1.3	Nitrate reductase (NADPH)
EC:1.7.1.4	Nitrite reductase (NAD(P)H)
EC:1.7.1.6	Azobenzene reductase
EC:1.7.1.7	GMP reductase
EC:1.7.2.1	Nitrite reductase (NO-forming)
EC:1.7.2.2	Nitrite reductase (cytochrome; ammonia-forming)
EC:1.7.2.3	Trimethylamine-N-oxide reductase (cytochrome c)
EC:1.7.2.4	Nitrous-oxide reductase
EC:1.7.2.5	Nitric-oxide reductase (cytochrome c)
EC:1.7.2.6	Hydroxylamine dehydrogenase
EC:1.7.3.3	Factor independent urate hydroxylase
EC:1.7.7.1	Ferredoxin--nitrite reductase
EC:1.7.7.2	Ferredoxin--nitrate reductase
EC:1.7.99.1	Hydroxylamine reductase
EC:1.7.99.4	Nitrate reductase
EC:1.8.1.14	CoA-disulfide reductase
EC:1.8.1.15	Mycothione reductase
EC:1.8.1.2	Assimilatory sulfite reductase (NADPH)
EC:1.8.1.4	Dihydrolipoyl dehydrogenase
EC:1.8.1.7	Glutathione-disulfide reductase
EC:1.8.1.8	Protein-disulfide reductase
EC:1.8.1.9	Thioredoxin-disulfide reductase
EC:1.8.2.1	Sulfite dehydrogenase
EC:1.8.2.2	Thiosulfate dehydrogenase
EC:1.8.2.3	Sulfide-cytochrome-c reductase (flavocytochrome c)
EC:1.8.2.4	Dimethyl sulfide:cytochrome c2 reductase
EC:1.8.3.1	Sulfite oxidase
EC:1.8.3.2	Thiol oxidase
EC:1.8.3.5	Prenylcysteine oxidase
EC:1.8.3.6	Farnesylcysteine lyase
EC:1.8.4.11	Peptide-methionine (S)-S-oxide reductase
EC:1.8.4.12	Peptide-methionine (R)-S-oxide reductase
EC:1.8.4.14	L-methionine (R)-S-oxide reductase
EC:1.8.4.2	Protein-disulfide reductase (glutathione)
EC:1.8.4.8	Phosphoadenylyl-sulfate reductase (thioredoxin)
EC:1.8.4.9	Adenylyl-sulfate reductase (glutathione)
EC:1.8.5.2	Thiosulfate dehydrogenase (quinone)
EC:1.8.5.3	Dimethylsulfoxide reductase
EC:1.8.7.1	Assimilatory sulfite reductase (ferredoxin)
EC:1.8.7.2	Ferredoxin:thioredoxin reductase
EC:1.8.98.1	CoB--CoM heterodisulfide reductase
EC:1.8.98.2	Sulfiredoxin
EC:1.8.99.2	Adenylyl-sulfate reductase
EC:1.8.99.3	Hydrogensulfite reductase
EC:1.8.99.5	Dissimilatory sulfite reductase
EC:1.9.3.1	Cytochrome-c oxidase
EC:1.97.1.4	[Formate-C-acetyltransferase]-activating enzyme
EC:1.97.1.9	Selenate reductase
EC:2.1.1.1	Nicotinamide N-methyltransferase
EC:2.1.1.10	Homocysteine S-methyltransferase
EC:2.1.1.100	Protein-S-isoprenylcysteine O-methyltransferase
EC:2.1.1.101	Macrocin O-methyltransferase
EC:2.1.1.102	Demethylmacrocin O-methyltransferase
EC:2.1.1.103	Phosphoethanolamine N-methyltransferase
EC:2.1.1.104	Caffeoyl-CoA O-methyltransferase
EC:2.1.1.107	Uroporphyrinogen-III C-methyltransferase
EC:2.1.1.11	Magnesium protoporphyrin IX methyltransferase
EC:2.1.1.111	Anthranilate N-methyltransferase
EC:2.1.1.112	Glucuronoxylan 4-O-methyltransferase
EC:2.1.1.113	Site-specific DNA-methyltransferase (cytosine-N(4)-specific)
EC:2.1.1.114	Polyprenyldihydroxybenzoate methyltransferase
EC:2.1.1.117	(S)-scoulerine 9-O-methyltransferase
EC:2.1.1.12	Methionine S-methyltransferase
EC:2.1.1.127	[Ribulose-bisphosphate carboxylase]-lysine N-methyltransferase
EC:2.1.1.13	Methionine synthase
EC:2.1.1.130	Precorrin-2 C(20)-methyltransferase
EC:2.1.1.131	Precorrin-3B C(17)-methyltransferase
EC:2.1.1.132	Precorrin-6B C(5,15)-methyltransferase (decarboxylating)
EC:2.1.1.133	Precorrin-4 C(11)-methyltransferase
EC:2.1.1.137	Arsenite methyltransferase
EC:2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
EC:2.1.1.140	(S)-coclaurine-N-methyltransferase
EC:2.1.1.141	Jasmonate O-methyltransferase
EC:2.1.1.143	24-methylenesterol C-methyltransferase
EC:2.1.1.144	Trans-aconitate 2-methyltransferase
EC:2.1.1.148	Thymidylate synthase (FAD)
EC:2.1.1.150	Isoflavone 7-O-methyltransferase
EC:2.1.1.151	Cobalt-factor II C(20)-methyltransferase
EC:2.1.1.152	Precorrin-6A synthase (deacetylating)
EC:2.1.1.156	Glycine/sarcosine N-methyltransferase
EC:2.1.1.157	Sarcosine/dimethylglycine N-methyltransferase
EC:2.1.1.16	Methylene-fatty-acyl-phospholipid synthase
EC:2.1.1.161	Dimethylglycine N-methyltransferase
EC:2.1.1.163	Demethylmenaquinone methyltransferase
EC:2.1.1.166	23S rRNA (uridine(2552)-2'-O)-methyltransferase
EC:2.1.1.168	21S rRNA (uridine(2791)-2'-O)-methyltransferase
EC:2.1.1.17	Phosphatidylethanolamine N-methyltransferase
EC:2.1.1.170	16S rRNA (guanine(527)-N(7))-methyltransferase
EC:2.1.1.171	16S rRNA (guanine(966)-N(2))-methyltransferase
EC:2.1.1.172	16S rRNA (guanine(1207)-N(2))-methyltransferase
EC:2.1.1.173	23S rRNA (guanine(2445)-N(2))-methyltransferase
EC:2.1.1.174	23S rRNA (guanine(1835)-N(2))-methyltransferase
EC:2.1.1.176	16S rRNA (cytosine(967)-C(5))-methyltransferase
EC:2.1.1.177	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase
EC:2.1.1.178	16S rRNA (cytosine(1407)-C(5))-methyltransferase
