12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
PWY-3022	linamarin biosynthesis
PWY-3041	monoterpene biosynthesis
PWY-3042	phaseollin biosynthesis
PWY-3061	menthol biosynthesis
PWY-3081	L-lysine biosynthesis V
PWY-3097	superpathway of isoflavonoids (via naringenin)
PWY-3101	flavonol biosynthesis
PWY-3121	linamarin degradation
PWY-3161	indole-3-acetate biosynthesis III (bacteria)
PWY-3162	L-tryptophan degradation V (side chain pathway)
PWY-3181	L-tryptophan degradation VI (via tryptamine)
PWY-31	canavanine degradation
PWY-321	cutin biosynthesis
PWY-3221	dTDP-L-rhamnose biosynthesis II
PWY-3261	UDP-L-rhamnose biosynthesis
PWY-3282	superpathway of ammonia assimilation (plants)
PWY-3301	sinapate ester biosynthesis
PWY-3341	L-proline biosynthesis III
PWY-3385	choline biosynthesis I
PWY-3461	L-tyrosine biosynthesis II
PWY-3462	L-phenylalanine biosynthesis II
PWY-3481	superpathway of L-phenylalanine and L-tyrosine biosynthesis
PWY-3502	superpathway of NAD biosynthesis in eukaryotes
PWY-3542	choline biosynthesis II
PWY-3561	choline biosynthesis III
PWY-3581	(S)-reticuline biosynthesis I
PWY-3602	L-carnitine degradation II
PWY-361	phenylpropanoid biosynthesis
PWY-3621	&gamma;-butyrobetaine degradation
PWY-3641	L-carnitine degradation III
PWY-3661-1	glycine betaine degradation II (mammalian)
PWY-3661	glycine betaine degradation I
PWY-3721	choline degradation II
PWY-3722	glycine betaine biosynthesis II (Gram-positive bacteria)
PWY-3781	aerobic respiration I (cytochrome c)
PWY-3801	sucrose degradation II (sucrose synthase)
PWY-381	nitrate reduction II (assimilatory)
PWY-3821	galactose degradation III
PWY-3841	folate transformations II
PWY-3861	mannitol degradation II
PWY-3881	mannitol biosynthesis
PWY-3901	berberine biosynthesis
PWY-3941	&beta;-alanine biosynthesis II
PWY-3961	phosphopantothenate biosynthesis II
PWY-3981	&beta;-alanine biosynthesis I
PWY-3982	uracil degradation I (reductive)
PWY3DJ-11281	sphingomyelin metabolism
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism
PWY3DJ-12	ceramide de novo biosynthesis
PWY3DJ-35471	L-ascorbate biosynthesis IV
PWY3O-1109	superpathway of 4-hydroxybenzoate biosynthesis (yeast)
PWY3O-19	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)
PWY3O-246	(R,R)-butanediol degradation
PWY3O-355	stearate biosynthesis III (fungi)
PWY3O-4106	NAD salvage pathway III
PWY3O-4108	L-tyrosine degradation III
PWY3O-440	acetoin biosynthesis III
PWY3O-450	phosphatidylcholine biosynthesis I
PWY3O-6	dehydro-D-arabinono-1,4-lactone biosynthesis
PWY-3	putrescine degradation V
PWY-4002	L-asparagine degradation II
PWY-401	galactolipid biosynthesis I
PWY-4021	&beta;-alanine betaine biosynthesis
PWY-4041	&gamma;-glutamyl cycle
PWY-4061	glutathione-mediated detoxification I
PWY-4081	glutathione redox reactions I
PWY-40	putrescine biosynthesis I
PWY-4101	D-sorbitol degradation I
PWY-4121	glutathionylspermidine biosynthesis
PWY-4161	superpathway of benzoxazinoid glucosides biosynthesis
PWY-4181	glutathione amide metabolism
PWY-4201	volatile cinnamoic ester biosynthesis
PWY-4202	arsenate detoxification I (glutaredoxin)
PWY-4203	volatile benzenoid biosynthesis I (ester formation)
PWY-4221	pantothenate and coenzyme A biosynthesis II (plants)
PWY-4261	glycerol degradation I
PWY-4281	L-proline biosynthesis IV
PWY-4302	aerobic respiration III (alternative oxidase pathway)
PWY-4321	L-glutamate degradation IV
PWY-4341	L-glutamate biosynthesis V
PWY-4361	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation
PWY-4381	fatty acid biosynthesis initiation I
PWY-43	putrescine biosynthesis II
PWY-4421	curcumin glucoside biosynthesis
PWY-4441	DIMBOA-glucoside activation
PWY-4502	wighteone and luteone biosynthesis
PWY-4521	arsenite oxidation I (respiratory)
PWY-4601	arsenate reduction (respiratory)
PWY-4621	arsenate detoxification II (glutaredoxin)
PWY-4661	1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)
PWY-4681	kievitone biosynthesis
PWY-46	putrescine biosynthesis III
PWY-4702	phytate degradation I
PWY-4722	creatinine degradation II
PWY-4741	creatinine degradation III
PWY-4762	superpathway of choline biosynthesis
PWY-4781	phytate degradation II
PWY-4801	aloesone biosynthesis I
PWY-481	ethylbenzene degradation (anaerobic)
PWY-4821	UDP-D-xylose biosynthesis
PWY-4841	UDP-&alpha;-D-glucuronate biosynthesis (from myo-inositol)
PWY-4861	UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)
PWY490-3	nitrate reduction VI (assimilatory)
PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)
PWY-4921	protein citrullination
PWY-4922	6-methoxymellein biosynthesis
PWY-4942	sterculate biosynthesis
PWY-4961	&beta;-pyrazole-1-ylalanine biosynthesis
PWY-4981	L-proline biosynthesis II (from arginine)
PWY-4983	L-citrulline-nitric oxide cycle
PWY-4984	urea cycle
PWY-4985	mimosine biosynthesis
PWY4FS-11	L-ascorbate biosynthesis II (L-gulose pathway)
PWY4FS-12	VTC2 cycle
PWY4FS-13	extended VTC2 cycle
PWY4FS-17	abscisic acid biosynthesis shunt
PWY4FS-2	phosphatidylcholine biosynthesis II
PWY4FS-3	phosphatidylcholine biosynthesis III
PWY4FS-4	phosphatidylcholine biosynthesis IV
PWY4FS-5	superpathway of phosphatidylcholine biosynthesis
PWY4FS-6	phosphatidylethanolamine biosynthesis II
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)
PWY4LZ-257	superpathway of fermentation (Chlamydomonas reinhardtii)
PWY-4	UDP-D-galacturonate biosynthesis II (from D-galacturonate)
PWY-5001	tetrahydroxyxanthone biosynthesis (from benzoate)
PWY-5002	tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)
PWY-5004	superpathway of L-citrulline metabolism
PWY-5005	biotin biosynthesis II
PWY-5021	willardiine and isowillardiine biosynthesis
PWY-5022	4-aminobutanoate degradation V
PWY-5024	L-arginine degradation XI
PWY-5025	indole-3-acetate biosynthesis IV (bacteria)
PWY-5026	indole-3-acetate biosynthesis V (bacteria and fungi)
PWY-5027	phylloquinol biosynthesis
PWY-5028	L-histidine degradation II
PWY-5029	imidazole-lactate degradation
PWY-5030	L-histidine degradation III
PWY-5031	L-histidine degradation V
PWY-5032	ent-kaurene biosynthesis I
PWY-5033	nicotinate degradation II
PWY-5034	GA12 biosynthesis
PWY-5035	gibberellin biosynthesis III (early C-13 hydroxylation)
PWY-5036	gibberellin biosynthesis II (early C-3 hydroxylation)
PWY-5037	caffeine biosynthesis I
PWY-5038	caffeine biosynthesis II (via paraxanthine)
PWY-5039	theobromine biosynthesis I
PWY-5040	theobromine biosynthesis II (via xanthine)
PWY-5041	S-adenosyl-L-methionine cycle II
PWY-5044	purine nucleotides degradation I (plants)
PWY-5045	pinosylvin metabolism
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA
PWY-5047	gibberellin biosynthesis IV (Gibberella fujikuroi)
PWY-5048	rosmarinic acid biosynthesis I
PWY-5049	rosmarinic acid biosynthesis II
PWY-5052	superpathway of gibberellin biosynthesis
PWY-5053	superpathway of gibberellin GA12 biosynthesis
PWY-5054	sorbitol biosynthesis I
PWY-5055	nicotinate degradation III
PWY-5057	L-valine degradation II
PWY-5059	pinobanksin biosynthesis
PWY-5060	luteolin biosynthesis
PWY-5061	6,7,4'-trihydroxyisoflavone biosynthesis
PWY-5062	superpathway of nicotinate degradation
PWY-5063	phytyl diphosphate biosynthesis
PWY-5064	chlorophyll a biosynthesis II
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)
PWY-5068	chlorophyll cycle
PWY-5070	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)
PWY-5071	superpathway of rosmarinic acid biosynthesis
PWY-5074	mevalonate degradation
PWY-5075	L-leucine degradation II
PWY-5076	L-leucine degradation III
PWY-5078	L-isoleucine degradation II
PWY-5079	L-phenylalanine degradation III
PWY-5080	very long chain fatty acid biosynthesis I
PWY-5081	L-tryptophan degradation VIII (to tryptophol)
PWY-5082	L-methionine degradation III
PWY-5083	NAD/NADH phosphorylation and dephosphorylation
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA
PWY-5086	chlorophyll a biosynthesis I
PWY-5087	L-glutamate degradation VI (to pyruvate)
PWY-5088	L-glutamate degradation VIII (to propanoate)
PWY-5094	naringenin glycoside biosynthesis
PWY-5096	pyruvate fermentation to acetate and alanine
PWY-5097	L-lysine biosynthesis VI
PWY-5098	chlorophyll a degradation I
PWY-5100	pyruvate fermentation to acetate and lactate II
PWY-5101	L-isoleucine biosynthesis II
PWY-5103	L-isoleucine biosynthesis III
PWY-5104	L-isoleucine biosynthesis IV
PWY-5105	hesperitin glycoside biosynthesis
PWY-5107	phytol salvage pathway
PWY-5108	L-isoleucine biosynthesis V
PWY-5109	2-methylbutanoate biosynthesis
PWY-5110	trigonelline biosynthesis
PWY-5113	UDP-D-apiose biosynthesis (from UDP-D-glucuronate)
PWY-5114	UDP-sugars interconversion
PWY-5115	GDP-L-galactose biosynthesis
PWY-5116	sakuranetin biosynthesis
PWY-5118	ponciretin biosynthesis
PWY-5119	acacetin biosynthesis
PWY-5120	geranylgeranyl diphosphate biosynthesis
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)
PWY-5122	geranyl diphosphate biosynthesis
PWY-5123	trans, trans-farnesyl diphosphate biosynthesis
PWY-5125	anthocyanin biosynthesis (cyanidin 3-O-glucoside)
PWY-5129	sphingolipid biosynthesis (plants)
PWY-5130	2-oxobutanoate degradation I
PWY-5132	humulone biosynthesis
PWY-5133	cohumulone biosynthesis
PWY-5134	bitter acids biosynthesis
PWY-5135	xanthohumol biosynthesis
PWY-5136	fatty acid &beta;-oxidation II (peroxisome)
PWY-5137	fatty acid &beta;-oxidation III (unsaturated, odd number)
PWY-5138	unsaturated, even numbered fatty acid &beta;-oxidation
PWY-5139	pelargonidin conjugates biosynthesis
PWY-5140	cannabinoid biosynthesis
PWY-5142	acyl-ACP thioesterase pathway
PWY-5143	long-chain fatty acid activation
PWY-5147	oleate biosynthesis I (plants)
PWY-5148	acyl-CoA hydrolysis
PWY-5151	L-tyrosine degradation II
PWY-5152	leucodelphinidin biosynthesis
PWY-5153	anthocyanin biosynthesis (delphinidin 3-O-glucoside)
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)
PWY-5155	&beta;-alanine biosynthesis III
PWY-5156	superpathway of fatty acid biosynthesis II (plant)
PWY-5159	trans-4-hydroxy-L-proline degradation II
PWY-5160	rose anthocyanin biosynthesis I (via cyanidin 5-O-&beta;-D-glucoside)
PWY-5161	6'-deoxychalcone metabolism
PWY-5162	2-oxopentenoate degradation
PWY-5163	p-cumate degradation to 2-oxopent-4-enoate
PWY-5165	4-toluenesulfonate degradation II
PWY-5168	ferulate and sinapate biosynthesis
PWY-5169	cyanurate degradation
PWY-5170	melamine degradation
PWY-5171	N-cyclopropylmelamine degradation
PWY-5172	acetyl-CoA biosynthesis III (from citrate)
PWY-5173	superpathway of acetyl-CoA biosynthesis
PWY-5174	capsanthin and capsorubin biosynthesis
PWY-5175	lactucaxanthin biosynthesis
PWY-5176	coumarin biosynthesis (via 2-coumarate)
PWY-5177	glutaryl-CoA degradation
PWY-5178	toluene degradation IV (aerobic) (via catechol)
PWY-5179	toluene degradation V (aerobic) (via toluene-cis-diol)
PWY-5180	toluene degradation I (aerobic) (via o-cresol)
PWY-5181	toluene degradation III (aerobic) (via p-cresol)
PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)
PWY-5183	superpathway of aerobic toluene degradation
PWY-5184	toluene degradation VI (anaerobic)
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)
PWY-5189	tetrapyrrole biosynthesis II (from glycine)
PWY-5194	siroheme biosynthesis
PWY-5195	artemisinin biosynthesis
PWY-5196	factor 430 biosynthesis
PWY-5197	lactate biosynthesis (archaea)
PWY-5198	factor 420 biosynthesis
PWY-5199	factor 420 polyglutamylation
PWY-5203	soybean saponin I biosynthesis
PWY-5207	coenzyme B/coenzyme M regeneration
PWY-5209	methyl-coenzyme M oxidation to CO2
PWY-5247	methanogenesis from methylamine
PWY-5248	methanogenesis from dimethylamine
PWY-5250	methanogenesis from trimethylamine
PWY-5254	methanofuran biosynthesis
PWY-5257	superpathway of pentose and pentitol degradation
PWY-5258	methanogenesis from dimethylsulfide
PWY-5259	methanogenesis from methanethiol
PWY-5260	methanogenesis from methylthiopropanoate
PWY-5261	methanogenesis from tetramethylammonium
PWY-5265	peptidoglycan biosynthesis II (staphylococci)
PWY-5266	p-cymene degradation
PWY-5267	glucosinolate breakdown
PWY-5268	salvianin biosynthesis
PWY-5269	cardiolipin biosynthesis II
PWY-5270	morphine biosynthesis
PWY-5271	phaseic acid biosynthesis
PWY-5272	abscisic acid glucose ester metabolism
PWY-5273	p-cumate degradation
PWY-5274	sulfide oxidation II (sulfide dehydrogenase)
PWY-5276	sulfite oxidation I (sulfite oxidoreductase)
PWY-5277	thiosulfate disproportionation I (thiol-dependent)
PWY-5278	sulfite oxidation III
PWY-5279	sulfite oxidation II
PWY-5280	L-lysine degradation IV
PWY-5283	L-lysine degradation V
PWY-5284	shisonin biosynthesis
PWY-5285	sulfide oxidation III (sulfur dioxygenase)
PWY-5286	anthocyanidin sophoroside metabolism
PWY-5287	sanguinarine and macarpine biosynthesis
PWY-5288	astaxanthin biosynthesis (bacteria, fungi, algae)
PWY-5290	secologanin and strictosidine biosynthesis
PWY-5291	canthaxanthin biosynthesis
PWY-5292	vindoline and vinblastine biosynthesis
PWY-5294	superpathway of sulfide oxidation (Acidithiobacillus ferrooxidans)
PWY-5295	ternatin C5 biosynthesis
PWY-5296	thiosulfate oxidation III (multienzyme complex)
PWY-5297	siroheme amide biosynthesis
PWY-5298	L-lysine degradation VI
PWY-5301	ajmaline and sarpagine biosynthesis
PWY-5302	sulfur disproportionation II (aerobic)
PWY-5303	thiosulfate oxidation II (via tetrathionate)
PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)
PWY-5305	bixin biosynthesis
PWY-5306	superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)
PWY-5307	gentiodelphin biosynthesis
PWY-5308	superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)
PWY-5310	superpathway of anthocyanin biosynthesis (from delphinidin 3-O-glucoside)
PWY-5311	L-lysine degradation VII
PWY-5312	superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)
PWY-5313	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)
PWY-5314	L-lysine degradation VIII
PWY-5315	N-methyl-&Delta;1-pyrrolinium cation biosynthesis
PWY-5316	nicotine biosynthesis
PWY-5317	hyoscyamine and scopolamine biosynthesis
PWY-5318	calystegine biosynthesis
PWY-5319	coumarin metabolism (to melilotic acid)
PWY-5320	kaempferol glycoside biosynthesis (Arabidopsis)
PWY-5321	quercetin glycoside biosynthesis (Arabidopsis)
PWY-5324	L-lysine degradation IX
PWY-5326	sulfite oxidation IV
PWY-5327	superpathway of L-lysine degradation
PWY-5328	superpathway of L-methionine salvage and degradation
PWY-5329	L-cysteine degradation III
PWY-5331	taurine biosynthesis
PWY-5332	sulfur reduction I
PWY-5335	superpathway of sulfide oxidation (Starkeya novella)
PWY-5336	carbon disulfide oxidation II (aerobic)
PWY-5337	stachyose biosynthesis
PWY-5338	galactosylcyclitol biosynthesis
PWY-5339	chalcone 2'-O-glucoside biosynthesis
PWY-5340	sulfate activation for sulfonation
PWY-5342	ajugose biosynthesis I (galactinol-dependent)
PWY-5343	ajugose biosynthesis II (galactinol-independent)
PWY-5344	L-homocysteine biosynthesis
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)
PWY-5348	kaempferol triglucoside biosynthesis
PWY-5349	esculetin biosynthesis
PWY-5350	thiosulfate disproportionation III (rhodanese)
PWY-5352	thiosulfate disproportionation II (non thiol-dependent)
PWY-5353	arachidonate biosynthesis I (lower eukaryotes)
PWY-5355	nitroethane degradation
PWY-5358	tetrathionate reduction I (to thiosulfate)
PWY-5359	tetrathionate reductiuon II (to trithionate)
PWY-5360	superpathway of tetrathionate reduction (Salmonella typhimurium)
PWY-5361	(5Z)-icosenoate biosynthesis
PWY-5362	sapienate biosynthesis
PWY-5363	chrysin biosynthesis
PWY-5364	sulfur reduction II (via polysulfide)
PWY-5365	linear furanocoumarin biosynthesis
PWY-5366	palmitoleate biosynthesis II (plants and bacteria)
PWY-5367	petroselinate biosynthesis
PWY-5368	dimorphecolate biosynthesis
PWY-5370	carbon tetrachloride degradation I
PWY-5371	chrysophanol biosynthesis
PWY-5372	carbon tetrachloride degradation II
PWY-5373	calendate biosynthesis
PWY-5374	punicate biosynthesis
PWY-5375	&alpha;-eleostearate biosynthesis
PWY-5377	&alpha;-amyrin biosynthesis
PWY-5379	B series fagopyritols biosynthesis
PWY-5380	A series fagopyritols biosynthesis
PWY-5381	pyridine nucleotide cycling (plants)
PWY-5382	hydrogen oxidation II (aerobic, NAD)
PWY-5384	sucrose degradation IV (sucrose phosphorylase)
PWY-5386	methylglyoxal degradation I
PWY-5388	N-glucosylnicotinate metabolism
PWY-5389	3-methylthiopropanoate biosynthesis
PWY-5390	rutin biosynthesis
PWY-5391	syringetin biosynthesis
PWY-5392	reductive TCA cycle II
PWY-5393	raspberry ketone biosynthesis
PWY-5394	betalamic acid biosynthesis
PWY-5397	crocetin biosynthesis
PWY-5398	crocetin esters biosynthesis
PWY-5399	betacyanin biosynthesis
PWY-5400	amaranthin biosynthesis
PWY-5403	betaxanthin biosynthesis (via dopamine)
PWY-5404	betaxanthin biosynthesis (via dopaxanthin)
PWY-5405	superpathway of betalain biosynthesis
PWY-5406	divinyl ether biosynthesis I
PWY-5407	9-lipoxygenase and 9-allene oxide synthase pathway
PWY-5408	9-lipoxygenase and 9-hydroperoxide lyase pathway
PWY-5409	divinyl ether biosynthesis II
PWY-5410	traumatin and (Z)-3-hexen-1-yl acetate biosynthesis
PWY-5411	abietic acid biosynthesis
PWY-5412	levopimaric acid biosynthesis
PWY-5413	neoabietic acid biosynthesis
PWY-5414	palustric acid biosynthesis
PWY-5415	catechol degradation I (meta-cleavage pathway)
PWY-5416	superpathway of diterpene resin acids biosynthesis
PWY-5417	catechol degradation III (ortho-cleavage pathway)
PWY-5418	phenol degradation I (aerobic)
PWY-5419	catechol degradation to 2-oxopent-4-enoate II
PWY-5420	catechol degradation II (meta-cleavage pathway)
PWY-5421	dehydroabietic acid biosynthesis
PWY-5422	isopimaric acid biosynthesis
PWY-5423	oleoresin monoterpene volatiles biosynthesis
PWY-5424	superpathway of oleoresin turpentine biosynthesis
PWY-5425	oleoresin sesquiterpene volatiles biosynthesis
PWY-5426	betaxanthin biosynthesis
PWY-5427	naphthalene degradation (aerobic)
PWY-5428	m-xylene degradation to m-toluate
PWY-5429	p-xylene degradation to p-toluate
PWY-5430	meta cleavage pathway of aromatic compounds
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate
PWY-5433	superpathway of lipoxygenase
PWY-5434	(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis
PWY-5436	L-threonine degradation IV
PWY-5437	L-threonine degradation I
PWY-5439	betacyanin biosynthesis (via dopamine)
PWY-5441	S-methyl-L-methionine cycle
PWY-5443	aminopropanol phosphate biosynthesis I
PWY-5450	benzene degradation
PWY-5451	acetone degradation I (to methylglyoxal)
PWY-5453	methylglyoxal degradation III
PWY-5456	methylglyoxal degradation VII
PWY-5458	methylglyoxal degradation V
PWY-5459	methylglyoxal degradation IV
PWY-5461	betanidin degradation
PWY-5462	methylglyoxal degradation VIII
PWY-5464	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle
PWY-5466	matairesinol biosynthesis
PWY-5467	gramine biosynthesis
PWY-5468	lupanine biosynthesis
PWY-5469	sesamin biosynthesis
PWY-5470	palmatine biosynthesis
PWY-5472	bisbenzylisoquinoline alkaloid biosynthesis
PWY-5473	hydroxycinnamic acid serotonin amides biosynthesis
PWY-5474	hydroxycinnamic acid tyramine amides biosynthesis
PWY-5475	pentagalloylglucose biosynthesis
PWY-5476	cornusiin E biosynthesis
PWY-5477	gallotannin biosynthesis
PWY-5478	superpathway of hydrolyzable tannin biosynthesis
PWY-5479	podophyllotoxin and 6-methoxypodophyllotoxin biosynthesis
PWY-5480	pyruvate fermentation to ethanol I
PWY-5481	pyruvate fermentation to lactate
PWY-5482	pyruvate fermentation to acetate II
PWY-5483	pyruvate fermentation to acetate III
PWY-5484	glycolysis II (from fructose 6-phosphate)
PWY-5485	pyruvate fermentation to acetate IV
PWY-5486	pyruvate fermentation to ethanol II
PWY-5487	4-nitrophenol degradation I
PWY-5488	4-nitrophenol degradation II
PWY-5489	methyl parathion degradation
PWY-5490	paraoxon degradation
PWY-5491	diethylphosphate degradation
PWY-5493	reductive monocarboxylic acid cycle
PWY-5494	pyruvate fermentation to propanoate II (acrylate pathway)
PWY-5497	purine nucleobases degradation II (anaerobic)
PWY-5499	vitamin B6 degradation
PWY-5505	L-glutamate and L-glutamine biosynthesis
PWY-5506	methanol oxidation to formaldehyde IV
PWY-5507	adenosylcobalamin biosynthesis I (early cobalt insertion)
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I
PWY-5512	UDP-N-acetyl-D-galactosamine biosynthesis I
PWY-5514	UDP-N-acetyl-D-galactosamine biosynthesis II
PWY-5515	L-arabinose degradation II
PWY-5516	xylose degradation II
PWY-5517	L-arabinose degradation III
PWY-5519	D-arabinose degradation III
PWY-5521	L-ascorbate biosynthesis III
PWY-5523	5,6-dimethylbenzimidazole biosynthesis
PWY-5525	D-glucuronate degradation I
PWY-5526	bacteriochlorophyll a biosynthesis
PWY-5529	superpathway of bacteriochlorophyll a biosynthesis
PWY-5530	sorbitol biosynthesis II
PWY-5531	chlorophyllide a biosynthesis II (anaerobic)
PWY-5532	adenosine nucleotides degradation IV
PWY-5533	acetone degradation II (to acetoacetate)
PWY-5534	propylene degradation
PWY-5535	acetate formation from acetyl-CoA II
PWY-5536	acetate formation from acetyl-CoA III (succinate)
PWY-5537	pyruvate fermentation to acetate V
PWY-5538	pyruvate fermentation to acetate VI
PWY-5600	pyruvate fermentation to acetate VII
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation
PWY-5629	isopenicillin N biosynthesis
PWY-5630	penicillin K biosynthesis
PWY-5631	deacetylcephalosporin C biosynthesis
PWY-5632	cephalosporin C biosynthesis
PWY-5633	cephamycin C biosynthesis
PWY-5634	superpathway of penicillin, cephalosporin and cephamycin biosynthesis
PWY-5636	2-nitrophenol degradation
PWY-5637	nitrobenzene degradation I
PWY-5640	nitrobenzene degradation II
PWY-5641	2-nitrotoluene degradation
PWY-5642	2,4-dinitrotoluene degradation
PWY-5643	2,6-dinitrotoluene degradation
PWY-5644	4-nitrotoluene degradation II
PWY-5645	4-chloronitrobenzene degradation
PWY-5647	2-nitrobenzoate degradation I
PWY-5648	2-nitrobenzoate degradation II
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
PWY-5652	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate
PWY-5655	L-tryptophan degradation IX
PWY-5656	mannosylglycerate biosynthesis I
PWY-5658	mannosylglycerate biosynthesis II
PWY-5659	GDP-mannose biosynthesis
PWY-5660	taxol biosynthesis
PWY-5661	GDP-glucose biosynthesis
PWY-5662	glucosylglycerate biosynthesis I
PWY-5663	tetrahydrobiopterin biosynthesis I
PWY-5664	tetrahydrobiopterin biosynthesis II
PWY-5665	vanillin biosynthesis I
PWY-5666	steroidal glycoalkaloid biosynthesis
PWY-5667	CDP-diacylglycerol biosynthesis I
PWY-5668	cardiolipin biosynthesis I
PWY-5669	phosphatidylethanolamine biosynthesis I
PWY-5670	epoxysqualene biosynthesis
PWY-5672	ginsenosides biosynthesis
PWY-5674	nitrate reduction IV (dissimilatory)
PWY-5675	nitrate reduction V (assimilatory)
PWY-5676	acetyl-CoA fermentation to butanoate II
PWY-5677	succinate fermentation to butanoate
PWY-5679	clavulanate biosynthesis
PWY-5686	UMP biosynthesis
PWY-5690	TCA cycle II (plants and fungi)
PWY-5691	urate degradation to allantoin I
PWY-5692	allantoin degradation to glyoxylate II
PWY-5694	allantoin degradation to glyoxylate I
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)
PWY-5701	shikonin biosynthesis
PWY-5703	urea degradation I
PWY-5704	urea degradation II
PWY-5705	allantoin degradation to glyoxylate III
PWY-5706	alliin metabolism
PWY-5707	propanethial S-oxide biosynthesis
PWY-5708	ethiin metabolism
PWY-5710	capsaicin biosynthesis
PWY-5717	superpathway of formononetin derivative biosynthesis
PWY-5723	Rubisco shunt
PWY-5724	superpathway of atrazine degradation
PWY-5725	farnesene biosynthesis
PWY-5726	deethylsimazine degradation
PWY-5727	atrazine degradation II
PWY-5729	vestitol and sativan biosynthesis
PWY-5731	atrazine degradation III
PWY-5733	germacrene biosynthesis
PWY-5736	isopropylamine degradation
PWY-5737	(5R)-carbapenem carboxylate biosynthesis
PWY-5738	GDP-6-deoxy-D-talose biosynthesis
PWY-5739	GDP-D-perosamine biosynthesis
PWY-5740	GDP-L-colitose biosynthesis
PWY-5741	ethylmalonyl-CoA pathway
PWY-5742	L-arginine degradation IX (arginine:pyruvate transaminase pathway)
PWY-5743	3-hydroxypropanoate cycle
PWY-5744	glyoxylate assimilation
PWY-5747	2-methylcitrate cycle II
PWY-5748	&gamma;-coniciene and coniine biosynthesis
PWY-5749	itaconate degradation
PWY-5750	itaconate biosynthesis
PWY-5751	phenylethanol biosynthesis
PWY-5752	piperine biosynthesis
PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)
PWY-5755	4-hydroxybenzoate biosynthesis II (microbes)
PWY-5756	saponin biosynthesis II
PWY-5757	fosfomycin biosynthesis
PWY-5759	saponin biosynthesis III
PWY-5760	&beta;-alanine biosynthesis IV
PWY-5765	1,3,5-trimethoxybenzene biosynthesis
PWY-5766	L-glutamate degradation X
PWY-5768	pyruvate fermentation to acetate VIII
PWY-5770	phenazine-1-carboxylate biosynthesis
PWY-5773	gossypol biosynthesis
PWY-5774	saponin biosynthesis IV
PWY-5775	rotenoid biosynthesis I
PWY-5776	2-hydroxyphenazine biosynthesis
PWY-5780	hypericin biosynthesis
PWY-5782	2-keto-L-gulonate biosynthesis
PWY-5783	octaprenyl diphosphate biosynthesis
PWY-5784	indole-3-acetate conjugate biosynthesis II
PWY-5785	di-trans,poly-cis-undecaprenyl phosphate biosynthesis
PWY-5787	oligomeric urushiol biosynthesis
PWY-5788	indole-3-acetate degradation V
PWY-5789	3-hydroxypropanoate/4-hydroxybutanate cycle
PWY-5793	maysin biosynthesis
PWY-5794	malonate degradation I (biotin-independent)
PWY-5795	juglone biosynthesis
PWY-5796	malonate decarboxylase activation
PWY-5797	indole-3-acetate degradation VI
PWY-5800	xylan biosynthesis
PWY-5801	lawsone biosynthesis
PWY-5802	alizarin biosynthesis
PWY-5805	nonaprenyl diphosphate biosynthesis I
